Date(UTC),Value (Wei)
7/30/2015,0
7/31/2015,0
08/01/2015,0
08/02/2015,0
08/03/2015,0
08/04/2015,0
08/05/2015,0
08/06/2015,0
08/07/2015,6.04684E+11
08/08/2015,3.22714E+11
08/09/2015,4.75467E+11
08/10/2015,4.21655E+11
08/11/2015,77838819162
08/12/2015,4.44902E+11
8/13/2015,2.68683E+11
8/14/2015,1.93455E+11
8/15/2015,1.44369E+11
8/16/2015,1.2094E+11
8/17/2015,1.3215E+11
8/18/2015,1.46513E+11
8/19/2015,1.94583E+11
8/20/2015,99011782801
8/21/2015,79543407701
8/22/2015,5.52841E+11
8/23/2015,73439482806
8/24/2015,92409814705
8/25/2015,76432335617
8/26/2015,60481160549
8/27/2015,59307091958
8/28/2015,92879907335
8/29/2015,56211090684
8/30/2015,55155494457
8/31/2015,58423521569
09/01/2015,56671549652
09/02/2015,59243651401
09/03/2015,55051483461
09/04/2015,58779015464
09/05/2015,54768144366
09/06/2015,55089818552
09/07/2015,53594260637
09/08/2015,64932639811
09/09/2015,53779997784
09/10/2015,54630657670
09/11/2015,55713802958
09/12/2015,61830202468
9/13/2015,52313524792
9/14/2015,53772389657
9/15/2015,53191101494
9/16/2015,1.11519E+11
9/17/2015,55637920883
9/18/2015,55703151966
9/19/2015,51639660974
9/20/2015,52910345407
9/21/2015,51171380285
9/22/2015,51465441496
9/23/2015,51732832046
9/24/2015,54262646753
9/25/2015,52300197415
9/26/2015,55315658061
9/27/2015,51025979902
9/28/2015,52683661382
9/29/2015,55437141860
9/30/2015,51461473059
10/01/2015,51474669294
10/02/2015,52567714347
10/03/2015,52502578427
10/04/2015,50733256095
10/05/2015,50742818443
10/06/2015,51375494165
10/07/2015,51181314265
10/08/2015,56971870131
10/09/2015,61962572208
10/10/2015,64893302980
10/11/2015,56318375319
10/12/2015,51359902694
10/13/2015,53219625156
10/14/2015,57976429615
10/15/2015,54823147993
10/16/2015,53404946237
10/17/2015,53619552703
10/18/2015,52006592112
10/19/2015,52456819761
10/20/2015,53767556518
10/21/2015,53588794315
10/22/2015,57253941421
10/23/2015,51207267003
10/24/2015,50749518370
10/25/2015,51635339670
10/26/2015,54585998170
10/27/2015,53525777571
10/28/2015,54787998286
10/29/2015,52364630378
10/30/2015,54017718700
10/31/2015,53753181787
11/01/2015,50751088484
11/02/2015,53162663704
11/03/2015,51578536572
11/04/2015,52243136362
11/05/2015,52990311400
11/06/2015,52184810513
11/07/2015,51944373853
11/08/2015,52414324288
11/09/2015,51918274052
11/10/2015,52237284910
11/11/2015,52560853806
11/12/2015,59050838844
11/13/2015,51534479321
11/14/2015,51216461485
11/15/2015,51537798825
11/16/2015,56768038418
11/17/2015,56303859554
11/18/2015,53515892028
11/19/2015,54119551224
11/20/2015,54384895828
11/21/2015,54039631830
11/22/2015,53793371733
11/23/2015,55629754775
11/24/2015,58042755370
11/25/2015,54235748106
11/26/2015,53986356287
11/27/2015,53456555142
11/28/2015,54312682973
11/29/2015,53321187419
11/30/2015,55199244474
12/01/2015,54837947431
12/02/2015,53588845124
12/03/2015,53564860105
12/04/2015,53920215595
12/05/2015,54430269329
12/06/2015,53904812363
12/07/2015,53988885934
12/08/2015,53743612456
12/09/2015,54733915734
12/10/2015,54938250098
12/11/2015,58195798149
12/12/2015,59486449382
12/13/2015,56701649126
12/14/2015,53372600387
12/15/2015,62650330558
12/16/2015,54026271431
12/17/2015,55081281267
12/18/2015,55034649240
12/19/2015,53891713881
12/20/2015,53342677327
12/21/2015,53466176225
12/22/2015,53627121090
12/23/2015,55663754533
12/24/2015,52792315740
12/25/2015,53550792729
12/26/2015,53675955367
12/27/2015,66846252680
12/28/2015,53108130511
12/29/2015,53729001893
12/30/2015,56716784472
12/31/2015,57661175081
01/01/2016,54747565393
01/02/2016,53323453178
01/03/2016,53342341402
01/04/2016,54038066808
01/05/2016,57078526509
01/06/2016,53724486418
01/07/2016,53273537581
01/08/2016,53800517545
01/09/2016,53277018400
01/10/2016,53104731714
01/11/2016,53940328769
01/12/2016,54526276152
1/13/2016,58256098368
1/14/2016,55250356301
1/15/2016,57562550443
1/16/2016,55150540726
1/17/2016,53477721574
1/18/2016,53945900879
1/19/2016,53767376718
1/20/2016,55721616549
1/21/2016,60639283859
1/22/2016,56195249052
1/23/2016,55504259187
1/24/2016,58951408559
1/25/2016,56752420983
1/26/2016,58955359850
1/27/2016,58687046251
1/28/2016,56180261528
1/29/2016,59508641167
1/30/2016,67198755701
1/31/2016,66544976813
02/01/2016,66170097350
02/02/2016,65763607541
02/03/2016,64138762372
02/04/2016,73409019027
02/05/2016,68267066894
02/06/2016,1.31917E+11
02/07/2016,81674346130
02/08/2016,80464718771
02/09/2016,1.2451E+11
02/10/2016,1.41417E+11
02/11/2016,66426480457
02/12/2016,62799761220
2/13/2016,57729244744
2/14/2016,53479540613
2/15/2016,56788416456
2/16/2016,55814592783
2/17/2016,54601880947
2/18/2016,54513971078
2/19/2016,54608221632
2/20/2016,53778238540
2/21/2016,54255151037
2/22/2016,59577980579
2/23/2016,61016867321
2/24/2016,58177356219
2/25/2016,57464169480
2/26/2016,54600904591
2/27/2016,54108259575
2/28/2016,54072562583
2/29/2016,58416492222
03/01/2016,59690933816
03/02/2016,67322497890
03/03/2016,56545945782
03/04/2016,53626100171
03/05/2016,47489912177
03/06/2016,47260765636
03/07/2016,50440843854
03/08/2016,53596473626
03/09/2016,38089619702
03/10/2016,30204433047
03/11/2016,29035652694
03/12/2016,29197411911
3/13/2016,30820960382
3/14/2016,28509995013
3/15/2016,26342144976
3/16/2016,25523949148
3/17/2016,27708932990
3/18/2016,26302902480
3/19/2016,29326753003
3/20/2016,26655411712
3/21/2016,26198708915
3/22/2016,23516912695
3/23/2016,24515668491
3/24/2016,24817035022
3/25/2016,28125320881
3/26/2016,25100050063
3/27/2016,23366025518
3/28/2016,23293862605
3/29/2016,24748798767
3/30/2016,29356903690
3/31/2016,23943731847
04/01/2016,23089731009
04/02/2016,22939736669
04/03/2016,22705288437
04/04/2016,23071306359
04/05/2016,22855001812
04/06/2016,23774218158
04/07/2016,22920002717
04/08/2016,23663537901
04/09/2016,23374699345
04/10/2016,23678330657
04/11/2016,23659454582
04/12/2016,23059716953
4/13/2016,25246911318
4/14/2016,25758426765
4/15/2016,22848354360
4/16/2016,22969314896
4/17/2016,23167419890
4/18/2016,22692256964
4/19/2016,22921917181
4/20/2016,23244541703
4/21/2016,24583057704
4/22/2016,23168317793
4/23/2016,23328772911
4/24/2016,22898306186
4/25/2016,22894325246
4/26/2016,24013247909
4/27/2016,22769355411
4/28/2016,23151110557
4/29/2016,22517844341
4/30/2016,23589420595
05/01/2016,24074701211
05/02/2016,23735031560
05/03/2016,24296239464
05/04/2016,23683442809
05/05/2016,24293386757
05/06/2016,23038005218
05/07/2016,23118154788
05/08/2016,23310345000
05/09/2016,23021017203
05/10/2016,23592720268
05/11/2016,23627226077
05/12/2016,25330807567
5/13/2016,28093994639
5/14/2016,23703052414
5/15/2016,22439773235
5/16/2016,22740132145
5/17/2016,22852181919
5/18/2016,23498384260
5/19/2016,23539460755
5/20/2016,23617555647
5/21/2016,22932813089
5/22/2016,22915048414
5/23/2016,23047905809
5/24/2016,23390787327
5/25/2016,23119167836
5/26/2016,22614164987
5/27/2016,23740827315
5/28/2016,26746665349
5/29/2016,23677018969
5/30/2016,23145863918
5/31/2016,22735089093
06/01/2016,22687558792
06/02/2016,22831513081
06/03/2016,22754854055
06/04/2016,22562926511
06/05/2016,22634657554
06/06/2016,23217826841
06/07/2016,23737534493
06/08/2016,23042966451
06/09/2016,22658862386
06/10/2016,22804128940
06/11/2016,22375029283
06/12/2016,22951154962
6/13/2016,22759240658
6/14/2016,22856579441
6/15/2016,22714226454
6/16/2016,23212696396
6/17/2016,24632069593
6/18/2016,24843768913
6/19/2016,22736174769
6/20/2016,22691090048
6/21/2016,25068845210
6/22/2016,23017973391
6/23/2016,22617185981
6/24/2016,22376397200
6/25/2016,22497935939
6/26/2016,22141167067
6/27/2016,22312348466
6/28/2016,22584213073
6/29/2016,22918582594
6/30/2016,22446491113
07/01/2016,22618172634
07/02/2016,22174765936
07/03/2016,22438609328
07/04/2016,22445903080
07/05/2016,22791928270
07/06/2016,22376280596
07/07/2016,22363551641
07/08/2016,22368208463
07/09/2016,22412574674
07/10/2016,22296567527
07/11/2016,22505333819
07/12/2016,22440652514
7/13/2016,22106770557
7/14/2016,22324847989
7/15/2016,22150401292
7/16/2016,22453905433
7/17/2016,22385907496
7/18/2016,22194304300
7/19/2016,21817375021
7/20/2016,22553228644
7/21/2016,22496025782
7/22/2016,22388524770
7/23/2016,22644090502
7/24/2016,23334840904
7/25/2016,23055593809
7/26/2016,23802114598
7/27/2016,22886382980
7/28/2016,24336775150
7/29/2016,22951966479
7/30/2016,22341575288
7/31/2016,22551495057
08/01/2016,22560601997
08/02/2016,22679744211
08/03/2016,22667499175
08/04/2016,22424068262
08/05/2016,22709716839
08/06/2016,22261007498
08/07/2016,22143757119
08/08/2016,22238663553
08/09/2016,22880314198
08/10/2016,22839922128
08/11/2016,22430005194
08/12/2016,23389186213
8/13/2016,22116282460
8/14/2016,22080023368
8/15/2016,22387394758
8/16/2016,22133315567
8/17/2016,22449010538
8/18/2016,22271755769
8/19/2016,23013031811
8/20/2016,22008202022
8/21/2016,22724928781
8/22/2016,22323641612
8/23/2016,22472449180
8/24/2016,22134955112
8/25/2016,21662495420
8/26/2016,22060468684
8/27/2016,22084491734
8/28/2016,22327330954
8/29/2016,22503390990
8/30/2016,21969060645
8/31/2016,22383972827
09/01/2016,22350497450
09/02/2016,21832746445
09/03/2016,22180114518
09/04/2016,23122925314
09/05/2016,22297761925
09/06/2016,22011556383
09/07/2016,22086810764
09/08/2016,22630806155
09/09/2016,21954984795
09/10/2016,22516085593
09/11/2016,23221716092
09/12/2016,23192092540
9/13/2016,22172975216
9/14/2016,21847315101
9/15/2016,22076869309
9/16/2016,21913132122
9/17/2016,22349371995
9/18/2016,22722051979
9/19/2016,22459974842
9/20/2016,22114596899
9/21/2016,21875371150
9/22/2016,21998293790
9/23/2016,36520780497
9/24/2016,33231902597
9/25/2016,38650733832
9/26/2016,43188170153
9/27/2016,35880566234
9/28/2016,31053957466
9/29/2016,30521640536
9/30/2016,29817386069
10/01/2016,27851144123
10/02/2016,29274270351
10/03/2016,28921116127
10/04/2016,25719466740
10/05/2016,25204877308
10/06/2016,23383154022
10/07/2016,23148248452
10/08/2016,23382156317
10/09/2016,24293403159
10/10/2016,23808820587
10/11/2016,24289033632
10/12/2016,26037096488
10/13/2016,74508549155
10/14/2016,47491822159
10/15/2016,67021626922
10/16/2016,64860315135
10/17/2016,62917625993
10/18/2016,56109104953
10/19/2016,26727015004
10/20/2016,28388678071
10/21/2016,27327186756
10/22/2016,25568419660
10/23/2016,27189463354
10/24/2016,26738598194
10/25/2016,25467763116
10/26/2016,24766803093
10/27/2016,25335805631
10/28/2016,26393346615
10/29/2016,26931401011
10/30/2016,25710654068
